2019-11-12 11:26:13,380 p=31034 u=vagrant |  centoslocal                : ok=3    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-11-12 11:26:13,382 p=31034 u=vagrant |  debianlocal                : ok=3    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-11-12 11:26:31,487 p=31506 u=vagrant |  PLAY [redhat_servers] ************************************************************************************************************************************************************************
2019-11-12 11:26:31,787 p=31506 u=vagrant |  TASK [Installing packages on Redhat Servers] *************************************************************************************************************************************************
2019-11-12 11:27:47,719 p=31506 u=vagrant |  changed: [centoslocal] => (item=zip)
2019-11-12 11:28:42,842 p=31506 u=vagrant |  changed: [centoslocal] => (item=unzip)
2019-11-12 11:28:54,646 p=31506 u=vagrant |  ok: [centoslocal] => (item=gzip)
2019-11-12 11:30:01,012 p=31506 u=vagrant |  changed: [centoslocal] => (item=nano)
2019-11-12 11:30:01,305 p=31506 u=vagrant |  TASK [Removing packages on Redhat Servers] ***************************************************************************************************************************************************
2019-11-12 11:30:28,715 p=31506 u=vagrant |  changed: [centoslocal] => (item=unzip)
2019-11-12 11:30:58,730 p=31506 u=vagrant |  changed: [centoslocal] => (item=nano)
2019-11-12 11:30:59,018 p=31506 u=vagrant |  PLAY [debian_servers] ************************************************************************************************************************************************************************
2019-11-12 11:30:59,140 p=31506 u=vagrant |  TASK [Installing packages on Debian Servers] *************************************************************************************************************************************************
2019-11-12 11:32:31,886 p=31506 u=vagrant |  changed: [debianlocal] => (item=zip)
2019-11-12 11:33:23,687 p=31506 u=vagrant |  ok: [debianlocal] => (item=unzip)
2019-11-12 11:34:07,933 p=31506 u=vagrant |  ok: [debianlocal] => (item=gzip)
2019-11-12 11:35:24,056 p=31506 u=vagrant |  changed: [debianlocal] => (item=nano)
2019-11-12 11:35:24,183 p=31506 u=vagrant |   [WARNING]: Platform linux on host debianlocal is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See
https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information.

2019-11-12 11:35:24,301 p=31506 u=vagrant |  TASK [Removing packages on Debian Servers] ***************************************************************************************************************************************************
2019-11-12 11:36:17,145 p=31506 u=vagrant |  changed: [debianlocal] => (item=unzip)
2019-11-12 11:37:12,847 p=31506 u=vagrant |  changed: [debianlocal] => (item=nano)
2019-11-12 11:37:12,884 p=31506 u=vagrant |  PLAY RECAP ***********************************************************************************************************************************************************************************
2019-11-12 11:37:12,915 p=31506 u=vagrant |  centoslocal                : ok=2    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-11-12 11:37:12,920 p=31506 u=vagrant |  debianlocal                : ok=2    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-11-12 11:37:33,237 p=683 u=vagrant |  PLAY [redhat_servers] ************************************************************************************************************************************************************************
2019-11-12 11:37:33,660 p=683 u=vagrant |  TASK [Removing packages on Redhat Servers from vars] *****************************************************************************************************************************************
2019-11-12 11:38:31,043 p=683 u=vagrant |  ok: [centoslocal] => (item=unzip)
2019-11-12 11:39:08,041 p=683 u=vagrant |  changed: [centoslocal] => (item=zip)
2019-11-12 11:39:08,325 p=683 u=vagrant |  PLAY [debian_servers] ************************************************************************************************************************************************************************
2019-11-12 11:39:08,366 p=683 u=vagrant |  PLAY RECAP ***********************************************************************************************************************************************************************************
2019-11-12 11:39:08,367 p=683 u=vagrant |  centoslocal                : ok=1    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-11-12 11:39:26,123 p=1034 u=vagrant |  PLAY [redhat_servers] ************************************************************************************************************************************************************************
2019-11-12 11:39:26,358 p=1034 u=vagrant |  TASK [Installing packages on Redhat Servers from vars] ***************************************************************************************************************************************
2019-11-12 11:40:47,584 p=1034 u=vagrant |  changed: [centoslocal] => (item=unzip)
2019-11-12 11:41:42,418 p=1034 u=vagrant |  changed: [centoslocal] => (item=zip)
2019-11-12 11:42:31,208 p=1034 u=vagrant |  changed: [centoslocal] => (item=nano)
2019-11-12 11:42:31,507 p=1034 u=vagrant |  PLAY [debian_servers] ************************************************************************************************************************************************************************
2019-11-12 11:42:31,611 p=1034 u=vagrant |  PLAY RECAP ***********************************************************************************************************************************************************************************
2019-11-12 11:42:31,612 p=1034 u=vagrant |  centoslocal                : ok=1    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
